Baccalaureate Institution,Enrollment,Endowment,EndowmentPerStudent
Kalamazoo College,1436,"240,300,000",167339.8329
Kansas State University,20854,"524,200,000",25136.66443
Kent State University,26804,"138,100,000",5152.216087
Kenyon College,1676,"419,100,000",250059.6659
Korea Advanced Institute of Science and Technology,10504,,0
La Salle University,5191,"80,000,000",15411.28877
Lafayette College,2610,"839,400,000",321609.1954
Lamar University,17488,"128,500,000",7347.8957
Lawrence University,1555,"361,100,000",232218.6495
Lehigh University,6953,"1,370,000,000",197037.2501
LeTourneau University,3003,"22,900,000",7625.707626
Lewis and Clark College,3390,"240,800,000",71032.44838
Lewis University,6573,"56,328,687",8569.70744
Lewis-Clark State College,3684,"7,590,000",2060.260586
LINCOLN UNIVERSITY,2436,"44,100,000",18103.44828
Louisiana State University,34290,"521,800,000",15217.26451
Louisiana Tech University,11957,"106,900,000",8940.369658
Loyola University of Chicago,17159,"710,900,000",41430.15327
Luther College,2337,"167,100,000",71501.92555
Macalester College,2174,"697,200,000",320699.172
Marquette University,11800,"693,700,000",58788.13559
Marymount University,3294,"43,000,000",13054.03764
Maryville College,1213,"93,100,000",76751.85491
Massachusetts Institute of Technology,11520,"18,380,000,000",1595486.111
McGill University,40036,"1,455,972,840",36366.59107
Miami University,19752,"558,400,000",28270.55488
Michigan State University,49809,"3,400,000,000",68260.75609
Middle East Technical University,31000,"400,000,000",12903.22581
Middlebury College,2549,"1,130,000,000",443311.1024
Mills College,1122,"187,300,000",166934.0463
Millsaps College,985,"117,900,000",119695.4315
Milwaukee School of Engineering,2820,"59,540,559",21113.6734
Mississippi State University,22986,"520,400,000",22639.86775
Mississippi University For Women,2789,"43,800,000",15704.5536
Missouri University of Science and Technology,8096,"190,800,000",23567.19368
Montana State University,16766,"177,600,000",10592.86652
Moravian College,2377,"116,000,000",48801.00968
Morehouse College,2253,"157,100,000",69729.24989
Mount Holyoke College,2300,"789,000,000",343043.4783
Mount St. Mary's University,2240,"47,605,000",21252.23214
Muhlenberg College,2225,"286,200,000",128629.2135
National Taiwan University,31747,595030771.6,18742.89765
New College of Florida,838,25000000,29832.93556
New Jersey Institute of Technology,11518,"135,600,000",11772.87724
New Mexico Institute of Mining and Technology,2021,"47,700,000",23602.17714
New York University,51848,"4,320,000,000",83320.47524
North Carolina Agricultural & Technical State University,12754,"73,800,000",5786.419947
North Carolina State University,36304,"1,420,000,000",39114.1472
North Dakota State University Fargo,13173,"247,700,000",18803.61345
Northeastern Illinois University,8984,"17,000,000",1892.252894
Northeastern University,27602,"1,070,000,000",38765.30686
Northern Arizona University,29569,"203,700,000",6888.971558
Northern Illinois University,20015,"76,500,000",3822.1334
Northern Kentucky University,14566,"100,500,000",6899.629274
Northern Michigan University,6764,"15,400,000",2276.759314
Northwestern University,21946,"12,200,000,000",555909.9608
Nova Southeastern University,20576,"174,200,000",8466.174184
Oakland University,20012,"102,100,000",5101.938837
Oberlin College,2785,"1,090,000,000",391382.4057
Occidental College,1930,"439,100,000",227512.9534
Ohio State University,61369,"5,290,000,000",86199.8729
Ohio University,22706,"596,400,000",26266.18515
Oklahoma State University,24041,"756,500,000",31467.07708
Old Dominion University,25000,"265,800,000",10632
Oregon State University,31719,"1,100,000,000",34679.52962
Otterbein College,2791,"99,100,000",35506.98674
Pennsylvania State Univ University Park,96408,"3,400,000,000",35266.78284
Pepperdine University,7961,"881,100,000",110677.0506
Pitzer College,1067,"144,300,000",135238.9878
Pomona College,1376,"2,260,000,000",1642441.86
Portland State University,26012,"80,300,000",3087.036752
Princeton University,8374,"26,100,000,000",3116790.064
Providence College,4890,"234,200,000",47893.66053
Purdue University,43411,"2,590,000,000",59662.29757
Randolph-Macon College,1419,"168,300,000",118604.6512
Reed College,1385,"569,300,000",411046.9314
Regents of the University of Michigan - Ann Arbor,,,#DIV/0!
Rensselaer Polytechnic Institute,,,#DIV/0!
Rhodes College,,,#DIV/0!
Rice University,7282,"6,160,000,000",845921.4502
Rochester Institute of Technology,,,#DIV/0!
Rockhurst University,,,#DIV/0!
Rose-Hulman Institute of Technology,,,#DIV/0!
Rowan University,,,#DIV/0!
Rutgers University New Brunswick,,,#DIV/0!
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",,,#DIV/0!
Saint Edward's University,,,#DIV/0!
Saint Joseph's College,,,#DIV/0!
Saint Louis University,,,#DIV/0!
Saint Olaf College,,,#DIV/0!
Sam Houston State University,,,#DIV/0!
SAN DIEGO STATE UNIVERSITY,35578,"353,300,000",9930.294002
San Francisco State University,27075,"140,800,000",5200.369344
San Jose State University,33025,383000000,11597.27479
Santa Clara University,,,#DIV/0!
Sarah Lawrence College,,,#DIV/0!
Scripps College,1109,"374,900,000",338052.2994
Seattle University,,,#DIV/0!
Seoul National University,,,#DIV/0!
Seton Hall University,,,#DIV/0!
Seton Hill University,,,#DIV/0!
Slippery Rock University of Pennsylvania,,,#DIV/0!
Smith College,2903,"1,910,000,000",657940.062
Sonoma State University,,,#DIV/0!
South Dakota School of Mines and Technology,,,#DIV/0!
Southern Methodist University,,,#DIV/0!
Southwestern University,,,#DIV/0!
Spelman College,2120,"377,900,000",178254.717
St Joseph's College Main Campus,,,#DIV/0!
St Mary's College of Maryland,,,#DIV/0!
St. George's University,,,#DIV/0!
Stanford University,,,#DIV/0!
Stephen F. Austin State University,,,#DIV/0!
Stockton University,,,#DIV/0!
STONY BROOK UNIVERSITY,,,#DIV/0!
Sungkyunkwan University,,,#DIV/0!
SUNY at Buffalo,32347,"788,900,000",24388.66046
SUNY College at Geneseo,,,#DIV/0!
SUNY College at New Paltz,,,#DIV/0!
SUNY College at Oswego,,,#DIV/0!
SUNY College of Environmental Science and Forestry,,,#DIV/0!
SUNY Polytechnic Institute,,,#DIV/0!
Swarthmore College,,,#DIV/0!
Syracuse University,22850,"1,390,000,000",60831.50985
Temple University,,,#DIV/0!
Tennessee Technological University,,,#DIV/0!
Texas A&M University,,,#DIV/0!
Texas A&M University at Galveston,,,#DIV/0!
Texas Southern University,,,#DIV/0!
Texas State University - San Marcos,,,#DIV/0!
Texas Tech University,,,#DIV/0!
Texas Woman's University,,,#DIV/0!
The College of New Jersey,,,#DIV/0!
The Ohio State University/CETE,,,#DIV/0!
The University of Missouri-System,,,#DIV/0!
The University of Texas at Dallas,,,#DIV/0!
The University of Texas at El Paso,,,#DIV/0!
The University of Texas at San Antonio,,,#DIV/0!
Towson University,,,#DIV/0!
Trine University,,,#DIV/0!
Trinity College,2198,605700000,275568.6988
Trinity University,,,#DIV/0!
Troy University,,,#DIV/0!
Truman State University,,,#DIV/0!
Trustees of Boston University,,,#DIV/0!
Tufts University,11878,"1,890,000,000",159117.6966
Tulane University,14062,"1,450,000,000",103114.7774
Tuskegee University,,,#DIV/0!
Union College,,,#DIV/0!
United States Air Force Academy,,,#DIV/0!
United States Military Academy,,,#DIV/0!
University of  Puget Sound,,,#DIV/0!
University of Alabama at Birmingham,,,#DIV/0!
University of Alabama Tuscaloosa,,,#DIV/0!
University of Arizona,,,#DIV/0!
University of Arkansas,,,#DIV/0!
University of California - Merced,,,#DIV/0!
UNIVERSITY OF CALIFORNIA SAN DIEGO,,,#DIV/0!
University of California-Berkeley,,,#DIV/0!
University of California-Davis,,,#DIV/0!
University of California-Irvine,,,#DIV/0!
University of California-Los Angeles,,,#DIV/0!
University of California-Riverside,,,#DIV/0!
University of California-Santa Barbara,,,#DIV/0!
University of California-Santa Cruz,,,#DIV/0!
"UNIVERSITY OF CALIFORNIA, BERKELEY",,,#DIV/0!
"University of California, Davis",,,#DIV/0!
"University of California, Irvine",,,#DIV/0!
University of Central Arkansas,,,#DIV/0!
University of Central Florida,,,#DIV/0!
University of Chicago,16445,"8,600,000,000",522955.3056
University of Cincinnati Main Campus,,,#DIV/0!
University of Colorado at Boulder,,,#DIV/0!
University of Connecticut,,,#DIV/0!
University of Dallas,,,#DIV/0!
University of Dayton,,,#DIV/0!
University of Delaware,,,#DIV/0!
University of Detroit Mercy,,,#DIV/0!
University of Florida,,,#DIV/0!
University of Georgia,,,#DIV/0!
University of Guam,,,#DIV/0!
University of Hawaii,,,#DIV/0!
University of Hawaii at Hilo,,,#DIV/0!
University of Houston,,,#DIV/0!
University of Idaho,,,#DIV/0!
UNIVERSITY OF ILLINOIS,,,#DIV/0!
University of Illinois at Chicago,,,#DIV/0!
University of Illinois at Urbana-Champaign,,,#DIV/0!
University of Iowa,,,#DIV/0!
UNIVERSITY OF KANSAS,27619,"1,810,000,000",65534.59575
University of Kentucky,,,#DIV/0!
University of Louisville,,,#DIV/0!
University of Maine,,,#DIV/0!
University of Maryland,,,#DIV/0!
University of Maryland Baltimore County,13602,"105,200,000",7734.156742
University of Maryland Eastern Shore,,,#DIV/0!
"University of Maryland, College Park",,,#DIV/0!
University of Massachusetts Amherst,,,#DIV/0!
University of Massachusetts Boston,,,#DIV/0!
University of Miami,,,#DIV/0!
University of Michigan,,,#DIV/0!
University of Minnesota Duluth,10275,"161,000,000",15669.09976
University of Minnesota-Twin Cities,49148,"3,800,000,000",77317.49003
University of Mississippi,23258,"674,200,000",28987.87514
University of Missouri-Columbia,31089,"1,740,000,000",55968.34893
University of Missouri-Saint Louis,16471,"85,500,000",5190.941655
University of Montana,10962,"207,100,000",18892.53786
University of Nebraska at Omaha,15526,"71,600,000",4611.619219
University of Nebraska-Lincoln,25820,"1,435,000,000",55577.07204
University of Nevada Las Vegas,31171,"305,800,000",9810.400693
University of Nevada Reno,21657,"367,500,000",16969.10929
University of New England,13743,"39,000,000",2837.808339
University of New Hampshire,14784,"404,000,000",27326.83983
University of New Mexico,"26,278","442,500,000",16839.18106
University of New Orleans,7976,"74,700,000",9365.59679
University of North Carolina at Chapel Hill,30101,"3,710,000,000",123251.7192
University of North Carolina at Charlotte,30146,"232,200,000",7702.51443
University of North Carolina at Wilmington,17499,"103,800,000",5931.76753
University of North Florida,"17,002","116,200,000",6834.49006
University of North Georgia,19722,"55,600,000",2819.186695
University of Northern Iowa,10497,"135,300,000",12889.39697
University of Notre Dame,12681,"11,960,000,000",943143.2852
UNIVERSITY OF OKLAHOMA,28564,"1,736,000,000",60775.80171
University of Oregon Eugene,21800,"1,050,000,000",48165.13761
University of Pennsylvania,22432,"14,880,000,000",663338.0884
University of Pittsburgh,28391,"4,170,000,000",146877.5316
University of Portland,4205,"140,200,000",33341.2604
University of Puerto Rico,57726,"65,000,000",1126.009077
University of Puerto Rico at Humacao,4732,"2,739,000",578.8250211
University of Puerto Rico Mayaguez,13148,"256,000,000",19470.64192
University of Puerto Rico-Rio Piedras,18653,,0
University of Rhode Island,17064,"163,600,000",9587.435537
University of Richmond,3914,"2,410,000,000",615738.3751
University of Rochester,12233,"2,610,000,000",213357.3122
University of San Diego,7514,"532,200,000",70827.78813
University of San Francisco,10636,"430,100,000",40438.13464
University of South Alabama,15093,"387,100,000",25647.65123
University of South Carolina at Columbia,35364,"782,800,000",22135.50503
University of South Dakota Main Campus,9971,"264,100,000",26486.81175
University of South Florida,50830,"532,200,000",10470.19477
University of Southern California,48321,"5,910,000,000",122307.0715
University of Southern Mississippi,14606,"103,500,000",7086.128988
University of St. Thomas,9878,"540,600,000",54727.67767
University of Tampa,9304,"38,900,000",4180.99742
University of Tennessee Chattanooga,11638,"147,100,000",12639.6288
University of Tennessee Knoxville,29460,"1,340,000,000",45485.40394
University of Texas at Arlington,43863,"159,000,000",3624.923056
University of Texas at Austin,"51,090","30,100,000,000",589156.3907
University of Texas at Dallas,"29,300","603,000,000",20580.20478
University of Texas at El Paso,25151,"241,700,000",9609.955867
University of Texas at San Antonio,34742,"172,000,000",4950.780036
University of Texas at Tyler,9927,"87,100,000",8774.050569
University of the South,1653,"419,500,000",253781.0042
University of Toronto,62864,"2,059,011,150",32753.42247
University of Tulsa,4352,"1,070,000,000",245863.9706
University of Utah,32818,"1,070,000,000",32604.05875
UNIVERSITY OF VIRGINIA,25018,"7,260,000,000",290191.0624
University of Washington,47571,"3,060,000,000",64324.90383
University of Wisconsin-Eau Claire,10737,"80,500,000",7497.438763
University of Wisconsin-La Crosse,10580,"41,600,000",3931.94707
University of Wisconsin-Madison,44413,"3,180,000,000",71600.65747
University of Wisconsin-Parkside,6295,"5,550,342",881.7064337
University of Wisconsin-Platteville,8712,"23,442,846",2690.868457
University of Wyoming,12249,"554,900,000",45301.65728
Utah State University,27691,"427,400,000",15434.61775
Valparaiso University,4500,"254,200,000",56488.88889
Vanderbilt University,13537,"6,900,000,000",509714.1169
Vassar College,2441,"1,100,000,000",450634.9857
Virginia Commonwealth University,29417,"1,990,000,000",67647.95866
Virginia Polytechnic Institute and State University,36383,"1,340,000,000",36830.38782
Virginia Wesleyan University,1487,"60,300,000",40551.44586
Wake Forest University,8789,"1,350,000,000",153601.0923
Walla Walla University,1855,"28,800,000",15525.60647
Walsh University,2899,"27,000,000",9313.556399
Washington and Lee University,2223,"1,630,000,000",733243.3648
Washington State University,30614,"1,080,000,000",35277.9774
Washington University in St. Louis,15045,"8,520,000,000",566301.0967
Wayne State University,26251,"401,600,000",15298.46482
Weber State University,26681,"155,200,000",5816.873431
Wellesley College,2519,"2,290,000,000",909090.9091
Wentworth Institute of Tech,4576,"116,600,000",25480.76923
Wesleyan University,3230,"1,130,000,000",349845.2012
West Virginia University,29933,"611,300,000",20422.27642
Western Colorado University,3034,"15,400,000",5075.807515
Western Illinois University,7490,"59,700,000",7970.627503
Western Kentucky University,20277,"181,700,000",8960.891651
Western Washington University,16142,"77,300,000",4788.749845
Westminster College of Salt Lake City,2887,"79,000,000",27364.04572
Westmont College,1313,"78,900,000",60091.39375
Whitman College,1509,"586,300,000",388535.4539
Whitworth University,3019,"165,200,000",54720.106
Wichita State University,16058,"270,500,000",16845.1862
Willamette University,2104,"256,800,000",122053.2319
William Jewell College,739,"62,000,000",83897.15832
William Marsh Rice University,7282,"6,160,000,000",845921.4502
Williams College,2081,"2,840,000,000",1364728.496
Winthrop University,6073,"62,300,000",10258.52132
Worcester Polytechnic Institute,6139,"505,500,000",82342.40104
Xavier University of Louisiana,3231,"171,000,000",52924.79109
Yale University,12060,"31,110,000,000",2579601.99
Yeshiva University,6513,"615,100,000",94441.88546
Youngstown State University,12155,"275,900,000",22698.47799
